time	sign
0	0,369
1	1,368
2	1,713
3	2,808
4	2,809
5	3,117
6	3,787
7	2,98
8	2,419
9	2,96
10	2,262
11	1,717
12	1,558
13	0,582
14	0,782
15	0,737
16	1,264
17	1,799
18	1,734
19	2,298
20	3,549
21	4,19
22	5,039
23	5,263
24	6,096
25	5,905
26	6,09
27	5,667
28	5,334
29	5,447
30	4,589
31	3,882
32	3,206
33	3,144
34	2,562
35	2,895
36	3,415
37	3,002
38	3,875
39	4,569
40	5,423
41	5,538
42	6,832
43	7,058
44	6,836
45	6,996
46	7,58
47	7,376
48	7,097
49	6,253
50	5,576
51	4,609
52	4,649
53	4,302
54	3,626
55	3,232
56	3,009
57	4,063
58	4,259
59	4,489
60	5,123
61	6,149
62	6,186
63	6,736
64	6,71
65	6,9
66	6,943
67	6,689
68	5,563
69	5,504
70	4,985
71	4,167
72	3,547
73	2,577
74	2,136
75	2,428
76	2,023
77	2,489
78	2,373
79	2,569
80	3,066
81	4,055
82	4,207
83	5,124
84	4,88
85	4,88
86	4,286
87	4,173
88	3,116
89	2,849
90	2,111
91	1,246
92	0,121
93	0,401
94	-0,277
95	-0,881
96	-0,903
97	-1,111
98	-0,068
99	-0,232
100	0,788
101	0,885
102	0,924
103	1,804
104	2,143
105	1,364
106	1,203
107	0,586
108	0,878
109	-0,177
110	-1,363
111	-1,549
112	-2,79
113	-3,38
114	-3,307
115	-3,785
116	-3,786
117	-3,494
118	-3,11
119	-2,803
120	-2,734
121	-2,136
122	-1,228
123	-0,739
124	-0,593
125	-1,375
126	-0,766
127	-1,834
128	-2,479
129	-2,562
130	-3,827
131	-4,077
132	-4,512
133	-5,641
134	-6,262
135	-5,703
136	-5,999
137	-5,947
138	-5,013
139	-5,26
140	-4,205
141	-3,5
142	-2,841
143	-2,795
144	-2,101
145	-2,699
146	-2,106
147	-3,238
148	-2,907
149	-3,684
150	-4,253
151	-4,813
152	-5,47
153	-6,375
154	-6,111
155	-6,315
156	-6,432
157	-5,769
158	-5,405
159	-4,839
160	-4,566
161	-3,255
162	-3,218
163	-2,898
164	-2,511
165	-2,178
166	-1,964
167	-2,458
168	-2,818
169	-3,502
170	-3,063
171	-3,791
172	-4,639
173	-4,872
174	-5,303
175	-5,24
176	-4,589
177	-4,729
178	-4,255
179	-3,35
180	-2,357
181	-1,337
182	-1,369
183	-0,649
184	-0,432
185	0,308
186	0,674
187	0,09
188	0,332
189	-0,563
190	-0,817
191	-1,828
192	-2,075
193	-2,035
194	-1,89
195	-2,637
196	-1,888
197	-1,936
198	-1,426
199	0,094
200	0,168
201	0,82
202	2,137
203	2,646
204	3,071
205	3,673
206	3,382
207	3,677
208	3,196
209	2,664
210	1,845
211	1,125
212	0,861
213	0,803
214	0,244
215	1,232
216	1,21
217	1,845
218	1,923
219	2,891
220	3,06
221	4,521
222	5,247
223	5,08
224	5,836
225	6,058
226	6,538
227	5,52
228	5,703
229	4,623
230	4,065
231	4,051
232	3,145
233	3,043
234	2,569
235	2,786
236	3,56
237	3,295
238	3,771
239	4,491
240	5,42
241	5,708
242	6,472
243	7,359
244	7,228
245	7,409
246	7,686
247	6,712
248	6,244
249	6,548
250	5,816
251	5,269
252	4,584
253	3,749
254	3,102
255	3,908
256	3,921
257	3,297
258	4,479
259	4,459
260	5,535
261	5,844
262	6,634
263	6,777
264	7,305
265	7,046
266	7,185
267	6,738
268	6,312
269	5,643
270	4,956
271	3,912
272	3,545
273	2,187
274	1,873
275	1,817
276	2,046
277	2,642
278	2,41
279	2,741
280	3,513
281	3,641
282	4,038
283	4,196
284	4,603
285	5,189
286	4,033
287	4,498
288	3,97
289	3,126
290	1,715
291	1,2
292	0,403
293	0,453
294	0,028
295	-0,314
296	-1,015
297	-0,563
298	-0,452
299	-0,287
300	0,163
301	0,781
302	1,306
303	1,177
304	1,65
305	1,792
306	1,277
